,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,features,cluster
448,37,0.629,0.666,10.0,-6.821,0.0,0.0843,0.00359,0.0433,0.0771,0.264,176.035,4.0,"[37.0,0.629,0.666,10.0,-6.821,0.0,0.0843,0.00359,0.0433,0.0771,0.264,176.035,4.0]",0
449,48,0.612,0.499,4.0,-6.904,0.0,0.0546,0.127,0.184,0.146,0.0398,173.021,4.0,"[48.0,0.612,0.499,4.0,-6.904,0.0,0.0546,0.127,0.184,0.146,0.0398,173.021,4.0]",2
450,62,0.53,0.864,6.0,-4.024,0.0,0.0495,0.000831,0.0112,0.104,0.0902,171.871,4.0,"[62.0,0.53,0.864,6.0,-4.024,0.0,0.0495,0.000831,0.0112,0.104,0.0902,171.871,4.0]",2
451,15,0.741,0.554,0.0,-9.13,1.0,0.0411,0.143,0.0,0.113,0.627,125.042,4.0,"[15.0,0.741,0.554,0.0,-9.13,1.0,0.0411,0.143,0.0,0.113,0.627,125.042,4.0]",0
452,0,0.46,0.416,9.0,-14.23,0.0,0.0309,0.398,0.95,0.131,0.142,77.977,4.0,"[0.0,0.46,0.416,9.0,-14.23,0.0,0.0309,0.398,0.95,0.131,0.142,77.977,4.0]",0
453,59,0.543,0.561,0.0,-9.016,1.0,0.033,0.719,0.0579,0.163,0.767,167.887,4.0,"[59.0,0.543,0.561,0.0,-9.016,1.0,0.033,0.719,0.0579,0.163,0.767,167.887,4.0]",2
454,81,0.578,0.912,1.0,-3.929,1.0,0.114,0.0166,0.00362,0.273,0.68,127.87,4.0,"[81.0,0.578,0.912,1.0,-3.929,1.0,0.114,0.0166,0.00362,0.273,0.68,127.87,4.0]",2
455,62,0.622,0.471,9.0,-7.105,1.0,0.0277,0.0448,0.0,0.0957,0.278,124.455,4.0,"[62.0,0.622,0.471,9.0,-7.105,1.0,0.0277,0.0448,0.0,0.0957,0.278,124.455,4.0]",2
456,43,0.797,0.88,0.0,-9.192,1.0,0.0498,0.0601,0.658,0.0799,0.756,127.954,4.0,"[43.0,0.797,0.88,0.0,-9.192,1.0,0.0498,0.0601,0.658,0.0799,0.756,127.954,4.0]",2
457,43,0.796,0.828,11.0,-8.103,0.0,0.068,0.00563,0.289,0.0617,0.775,128.994,4.0,"[43.0,0.796,0.828,11.0,-8.103,0.0,0.068,0.00563,0.289,0.0617,0.775,128.994,4.0]",2
458,39,0.727,0.81,1.0,-10.036,1.0,0.168,0.0854,0.29,0.073,0.702,124.977,4.0,"[39.0,0.727,0.81,1.0,-10.036,1.0,0.168,0.0854,0.29,0.073,0.702,124.977,4.0]",2
459,45,0.856,0.863,8.0,-7.494,0.0,0.083,0.108,0.668,0.0649,0.796,131.0,4.0,"[45.0,0.856,0.863,8.0,-7.494,0.0,0.083,0.108,0.668,0.0649,0.796,131.0,4.0]",2
460,26,0.751,0.89,11.0,-8.446,0.0,0.0584,0.0558,0.878,0.0846,0.514,128.995,4.0,"[26.0,0.751,0.89,11.0,-8.446,0.0,0.0584,0.0558,0.878,0.0846,0.514,128.995,4.0]",0
461,29,0.802,0.876,10.0,-8.072,0.0,0.0632,0.00297,0.87,0.0652,0.845,130.008,4.0,"[29.0,0.802,0.876,10.0,-8.072,0.0,0.0632,0.00297,0.87,0.0652,0.845,130.008,4.0]",0
462,88,0.529,0.673,0.0,-4.711,1.0,0.175,0.000307,2.41e-06,0.093,0.366,165.921,4.0,"[88.0,0.529,0.673,0.0,-4.711,1.0,0.175,0.000307,2.41e-06,0.093,0.366,165.921,4.0]",2
463,33,0.578,0.299,2.0,-18.453,0.0,0.167,0.339,5.1e-05,0.154,0.378,86.374,4.0,"[33.0,0.578,0.299,2.0,-18.453,0.0,0.167,0.339,5.1e-05,0.154,0.378,86.374,4.0]",2
464,0,0.717,0.704,10.0,-7.24,1.0,0.0404,0.0549,0.719,0.0758,0.714,120.033,4.0,"[0.0,0.717,0.704,10.0,-7.24,1.0,0.0404,0.0549,0.719,0.0758,0.714,120.033,4.0]",0
465,34,0.867,0.349,1.0,-11.05,1.0,0.0775,0.0212,0.666,0.108,0.275,115.0,4.0,"[34.0,0.867,0.349,1.0,-11.05,1.0,0.0775,0.0212,0.666,0.108,0.275,115.0,4.0]",2
466,25,0.77,0.851,0.0,-6.091,1.0,0.0634,0.00276,0.00549,0.276,0.66,126.007,4.0,"[25.0,0.77,0.851,0.0,-6.091,1.0,0.0634,0.00276,0.00549,0.276,0.66,126.007,4.0]",0
467,35,0.668,0.68,1.0,-6.19,0.0,0.0388,7.95e-05,0.891,0.108,0.323,125.933,4.0,"[35.0,0.668,0.68,1.0,-6.19,0.0,0.0388,7.95e-05,0.891,0.108,0.323,125.933,4.0]",2
468,32,0.582,0.916,7.0,-5.019,0.0,0.237,0.000589,0.0015,0.125,0.186,128.005,4.0,"[32.0,0.582,0.916,7.0,-5.019,0.0,0.237,0.000589,0.0015,0.125,0.186,128.005,4.0]",0
469,29,0.742,0.603,1.0,-11.79,1.0,0.0462,0.00146,0.000961,0.0405,0.961,125.995,4.0,"[29.0,0.742,0.603,1.0,-11.79,1.0,0.0462,0.00146,0.000961,0.0405,0.961,125.995,4.0]",0
470,35,0.703,0.949,11.0,-8.06,1.0,0.0533,0.00294,0.895,0.109,0.262,132.0,4.0,"[35.0,0.703,0.949,11.0,-8.06,1.0,0.0533,0.00294,0.895,0.109,0.262,132.0,4.0]",2
471,26,0.651,0.838,11.0,-6.339,1.0,0.0466,0.000559,0.0115,0.0259,0.671,124.997,4.0,"[26.0,0.651,0.838,11.0,-6.339,1.0,0.0466,0.000559,0.0115,0.0259,0.671,124.997,4.0]",0
472,33,0.432,0.629,5.0,-10.583,0.0,0.0615,0.572,0.76,0.11,0.643,89.315,4.0,"[33.0,0.432,0.629,5.0,-10.583,0.0,0.0615,0.572,0.76,0.11,0.643,89.315,4.0]",2
473,76,0.766,0.563,9.0,-7.516,0.0,0.0339,0.0263,0.683,0.115,0.964,126.007,4.0,"[76.0,0.766,0.563,9.0,-7.516,0.0,0.0339,0.0263,0.683,0.115,0.964,126.007,4.0]",2
474,63,0.51,0.891,1.0,-7.517,1.0,0.0653,0.144,0.000641,0.208,0.326,139.973,4.0,"[63.0,0.51,0.891,1.0,-7.517,1.0,0.0653,0.144,0.000641,0.208,0.326,139.973,4.0]",2
475,37,0.68,0.916,7.0,-5.421,1.0,0.0366,0.0102,0.0217,0.591,0.795,128.031,4.0,"[37.0,0.68,0.916,7.0,-5.421,1.0,0.0366,0.0102,0.0217,0.591,0.795,128.031,4.0]",2
476,20,0.815,0.696,6.0,-8.994,0.0,0.0973,0.0556,7.2e-05,0.0866,0.796,126.411,4.0,"[20.0,0.815,0.696,6.0,-8.994,0.0,0.0973,0.0556,7.2e-05,0.0866,0.796,126.411,4.0]",0
477,28,0.672,0.749,0.0,-8.062,1.0,0.0455,0.0031,0.152,0.0679,0.726,120.133,4.0,"[28.0,0.672,0.749,0.0,-8.062,1.0,0.0455,0.0031,0.152,0.0679,0.726,120.133,4.0]",0
478,11,0.709,0.914,0.0,-4.355,0.0,0.095,0.00564,0.668,0.0771,0.903,119.988,4.0,"[11.0,0.709,0.914,0.0,-4.355,0.0,0.095,0.00564,0.668,0.0771,0.903,119.988,4.0]",0
479,4,0.852,0.898,1.0,-6.275,1.0,0.0795,0.00293,0.843,0.0746,0.485,128.036,4.0,"[4.0,0.852,0.898,1.0,-6.275,1.0,0.0795,0.00293,0.843,0.0746,0.485,128.036,4.0]",0
480,44,0.656,0.701,7.0,-11.083,0.0,0.0395,0.415,0.131,0.167,0.0758,116.024,4.0,"[44.0,0.656,0.701,7.0,-11.083,0.0,0.0395,0.415,0.131,0.167,0.0758,116.024,4.0]",2
481,0,0.604,0.76,7.0,-5.702,1.0,0.0307,0.0272,0.0283,0.129,0.777,154.966,4.0,"[0.0,0.604,0.76,7.0,-5.702,1.0,0.0307,0.0272,0.0283,0.129,0.777,154.966,4.0]",0
482,11,0.695,0.876,5.0,-5.994,0.0,0.042,0.0366,0.0896,0.954,0.863,130.037,4.0,"[11.0,0.695,0.876,5.0,-5.994,0.0,0.042,0.0366,0.0896,0.954,0.863,130.037,4.0]",0
483,4,0.781,0.901,0.0,-5.371,1.0,0.0422,0.0196,0.00107,0.0734,0.845,123.015,4.0,"[4.0,0.781,0.901,0.0,-5.371,1.0,0.0422,0.0196,0.00107,0.0734,0.845,123.015,4.0]",0
484,6,0.414,0.778,1.0,-10.04,1.0,0.0384,0.000569,0.281,0.0411,0.664,130.743,4.0,"[6.0,0.414,0.778,1.0,-10.04,1.0,0.0384,0.000569,0.281,0.0411,0.664,130.743,4.0]",0
485,37,0.624,0.814,9.0,-6.027,0.0,0.0335,0.00825,0.581,0.186,0.36,127.014,4.0,"[37.0,0.624,0.814,9.0,-6.027,0.0,0.0335,0.00825,0.581,0.186,0.36,127.014,4.0]",2
486,51,0.744,0.614,2.0,-8.003,1.0,0.0535,0.05,0.183,0.102,0.169,120.007,4.0,"[51.0,0.744,0.614,2.0,-8.003,1.0,0.0535,0.05,0.183,0.102,0.169,120.007,4.0]",2
487,45,0.736,0.612,1.0,-9.645,1.0,0.104,0.028,0.119,0.138,0.038,124.011,4.0,"[45.0,0.736,0.612,1.0,-9.645,1.0,0.104,0.028,0.119,0.138,0.038,124.011,4.0]",2
488,53,0.898,0.471,2.0,-10.13,1.0,0.519,0.0399,0.698,0.0694,0.41,120.099,4.0,"[53.0,0.898,0.471,2.0,-10.13,1.0,0.519,0.0399,0.698,0.0694,0.41,120.099,4.0]",2
489,53,0.798,0.873,10.0,-3.561,0.0,0.0818,0.0641,0.000138,0.0762,0.522,108.014,4.0,"[53.0,0.798,0.873,10.0,-3.561,0.0,0.0818,0.0641,0.000138,0.0762,0.522,108.014,4.0]",2
